t,psi_m,psi_l,nu
0.004882812499999918,0.00001115013253193327,3.3580823442977706e-6,-126.9999999987525
0.00976562500000016,2.689992939756035e-6,-6.680122039576113e-8,-126.99999999750028
0.014648437500000923,1.7905438422074185e-6,-2.801641733218422e-7,-126.99999999678718
0.0195312500000003,1.6137258916088031e-6,-2.467196067318768e-7,-126.99999999629732
0.024414062499999327,1.5198754493608498e-6,-1.995047614803786e-7,-126.99999999586313
0.029296874999998355,1.441379357632808e-6,-1.5585526342084159e-7,-126.99999999541635
0.034179687499999466,1.3691041908544177e-6,-1.166150539159266e-7,-126.99999999492738
0.039062500000001964,1.3007870177055227e-6,-8.147429672843448e-8,-126.99999999438543
0.04394531250000446,1.235318698746829e-6,-5.008375474269193e-8,-126.99999999378947
0.04882812500000696,1.1719656889585516e-6,-2.212337521680332e-8,-126.99999999314456
0.05371093750000946,1.1101955483453249e-6,2.69889072100658e-9,-126.99999999245891
0.058593750000011956,1.0496047942811913e-6,2.465102231298638e-8,-126.99999999174302
0.06347656250001306,9.898782462985574e-7,4.397998106982644e-8,-126.99999999100787
0.06835937500000862,9.307638068691933e-7,6.091394642570688e-8,-126.99999999026414
0.07324218750000418,8.720562549415811e-7,7.56640563546103e-8,-126.99999998952235
0.07812499999999974,8.135865991362767e-7,8.842577751481535e-8,-126.99999998879267
0.0830078124999953,7.5521489920284e-7,9.938004304844458e-8,-126.99999998808403
0.08789062499999085,6.968253213418827e-7,1.086942573250854e-7,-126.99999998740445
0.09277343749998641,6.384055228257705e-7,1.1652322528193762e-7,-126.99999998676134
0.09765624999998197,5.812283455281291e-7,1.2300993710820613e-7,-126.99999998616103
0.10253906249997753,5.263442859902105e-7,1.282863671904574e-7,-126.99999998560894
0.10742187499997309,4.738786447866622e-7,1.3247419226350865e-7,-126.99999998510974
0.11230468749996865,4.240425880109962e-7,1.356854614198831e-7,-126.99999998466735
0.11718749999996421,3.769830759137758e-7,1.3802323273767434e-7,-126.999999984285
0.12207031249995977,3.3285372810477553e-7,1.3958218133305034e-7,-126.99999998396524
0.12695312499995534,2.9186897406437346e-7,1.404491581679601e-7,-126.99999998370996
0.1318359374999509,2.5434086983829576e-7,1.4070372634031703e-7,-126.99999998352048
0.13671874999994646,2.2069845803279497e-7,1.40418670941352e-7,-126.99999998339787
0.14160156249994202,1.9150713453044753e-7,1.3966047285717004e-7,-126.99999998334249
0.14648437499993758,1.6737034064698104e-7,1.384897566477932e-7,-126.99999998335424
0.15136718749993314,1.4907226813086158e-7,1.3696170108589545e-7,-126.99999998343304
0.1562499999999287,1.3736953946628977e-7,1.3512643663352237e-7,-126.9999999835781
0.16113281249992426,1.3332783154949035e-7,1.3302940973923776e-7,-126.9999999837884
0.16601562499991981,1.3831167185575008e-7,1.307117489008832e-7,-126.99999998406291
0.17089843749991537,1.5385273901840055e-7,1.28210578144481e-7,-126.99999998440012
0.17578124999991093,1.8167186664039352e-7,1.2555931490588995e-7,-126.9999999847983
0.1806640624999065,2.2407584643160008e-7,1.2278795802254268e-7,-126.9999999852556
0.18554687499990205,2.831984208105619e-7,1.19923367173699e-7,-126.99999998577006
0.1904296874998976,3.5223462369960804e-7,1.1698950166638415e-7,-126.99999998633972
0.19531249999989317,4.211951856694767e-7,1.1400765011555393e-7,-126.999999986962
0.20019531249988873,4.897113148105673e-7,1.1099665622154509e-7,-126.99999998763481
0.2050781249998843,5.576585000967924e-7,1.0797312682939377e-7,-126.99999998835557
0.20996093749987985,6.24914628534453e-7,1.049516028569267e-7,-126.9999999891217
0.2148437499998754,6.913599722228355e-7,1.0194474479970819e-7,-126.99999998993079
0.21972656249987096,7.568772083628936e-7,9.896349242279006e-8,-126.99999999077998
0.22460937499986652,8.213551922842371e-7,9.601720144709577e-8,-126.99999999166651
0.22949218749986208,8.846777737624299e-7,9.311390450099647e-8,-126.99999999258787
0.23437499999985764,9.467349868872283e-7,9.026026083287625e-8,-126.99999999354134
0.2392578124998532,1.0074193776955597e-6,8.746177135833216e-8,-126.99999999452422
0.24414062499984876,1.0666260829181164e-6,8.47228972536283e-8,-126.99999999553356
0.24902343749984432,1.124252900303285e-6,8.204714004506062e-8,-126.99999999656673
0.2539062499998399,1.1802003703930114e-6,7.943715365838629e-8,-126.99999999762095
0.25878906249983546,1.2343718444860096e-6,7.689483443658549e-8,-126.9999999986933
0.263671874999831,1.2866735569876727e-6,7.442139029310568e-8,-126.99999999978125
0.2685546874998266,1.337014711287531e-6,7.201743196592778e-8,-127.00000000088195
0.27343749999982214,1.3853075848162629e-6,6.968303148567858e-8,-127.0000000019929
