+0.000000 +0.000000 +0.000000
+0.031250 +0.000000 +0.000000
+0.062500 +0.000000 +0.000000
+0.093750 +0.000000 +0.000000
+0.125000 +0.000000 +0.000000
+0.156250 +0.000000 +0.000000
+0.187500 +0.000000 +0.000000
+0.218750 +0.000000 +0.000000
+0.250000 +0.000000 +0.000000
+0.281250 +0.000000 +0.000000
+0.312500 +0.000000 +0.000000
+0.343750 +0.000000 +0.000000
+0.375000 +0.000000 +0.000000
+0.406250 +0.000000 +0.000000
+0.437500 +0.000000 +0.000000
+0.468750 +0.000000 +0.000000
+0.500000 +0.000000 +0.000000
+0.531250 +0.000000 +0.000000
+0.562500 +0.000000 +0.000000
+0.593750 +0.000000 +0.000000
+0.625000 +0.000000 +0.000000
+0.656250 +0.000000 +0.000000
+0.687500 +0.000000 +0.000000
+0.718750 +0.000000 +0.000000
+0.750000 +0.000000 +0.000000
+0.781250 +0.000000 +0.000000
+0.812500 +0.000000 +0.000000
+0.843750 +0.000000 +0.000000
+0.875000 +0.000000 +0.000000
+0.906250 +0.000000 +0.000000
+0.937500 +0.000000 +0.000000
+0.968750 +0.000000 +0.000000
+1.000000 +0.000000 +0.000000
+0.000000 +0.031250 +0.000000
+0.031250 +0.031250 -0.000684
+0.062500 +0.031250 -0.001605
+0.093750 +0.031250 -0.002023
+0.125000 +0.031250 -0.001581
+0.156250 +0.031250 -0.000160
+0.187500 +0.031250 +0.002212
+0.218750 +0.031250 +0.005422
+0.250000 +0.031250 +0.009300
+0.281250 +0.031250 +0.013640
+0.312500 +0.031250 +0.018218
+0.343750 +0.031250 +0.022801
+0.375000 +0.031250 +0.027163
+0.406250 +0.031250 +0.031090
+0.437500 +0.031250 +0.034395
+0.468750 +0.031250 +0.036920
+0.500000 +0.031250 +0.038546
+0.531250 +0.031250 +0.039194
+0.562500 +0.031250 +0.038833
+0.593750 +0.031250 +0.037478
+0.625000 +0.031250 +0.035189
+0.656250 +0.031250 +0.032074
+0.687500 +0.031250 +0.028282
+0.718750 +0.031250 +0.023999
+0.750000 +0.031250 +0.019440
+0.781250 +0.031250 +0.014843
+0.812500 +0.031250 +0.010458
+0.843750 +0.031250 +0.006536
+0.875000 +0.031250 +0.003318
+0.906250 +0.031250 +0.001015
+0.937500 +0.031250 -0.000227
+0.968750 +0.031250 -0.000424
+1.000000 +0.031250 +0.000000
+0.000000 +0.062500 +0.000000
+0.031250 +0.062500 -0.001716
+0.062500 +0.062500 -0.003676
+0.093750 +0.062500 -0.003950
+0.125000 +0.062500 -0.001528
+0.156250 +0.062500 +0.003972
+0.187500 +0.062500 +0.012500
+0.218750 +0.062500 +0.023717
+0.250000 +0.062500 +0.037087
+0.281250 +0.062500 +0.051940
+0.312500 +0.062500 +0.067535
+0.343750 +0.062500 +0.083099
+0.375000 +0.062500 +0.097872
+0.406250 +0.062500 +0.111141
+0.437500 +0.062500 +0.122273
+0.468750 +0.062500 +0.130738
+0.500000 +0.062500 +0.136136
+0.531250 +0.062500 +0.138207
+0.562500 +0.062500 +0.136848
+0.593750 +0.062500 +0.132113
+0.625000 +0.062500 +0.124218
+0.656250 +0.062500 +0.113531
